City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
153,Tarrafal,CV,15.28,-23.77,73.4,88,20,5.82,few clouds
154,Beyneu,KZ,45.32,55.2,56.43,35,0,18.37,clear sky
155,Vega De Alatorre,MX,20.03,-96.63,72.14,80,96,16.35,light rain
156,Sistranda,NO,63.73,8.83,53.6,58,0,21.92,light rain
157,Perth,AU,-31.93,115.83,71.6,82,75,12.75,broken clouds
158,Cabedelo,BR,-6.98,-34.83,78.8,78,75,5.82,broken clouds
159,Korla,CN,41.76,86.15,51.26,42,0,9.24,clear sky
160,Liverpool,GB,53.41,-2.98,51.8,93,75,14.99,broken clouds
161,Lapovo,RS,44.18,21.1,44.6,100,98,3.36,mist
162,Omsukchan,RU,62.53,155.8,16.16,94,100,6.4,overcast clouds
163,Cayenne,GF,4.93,-52.33,75.2,100,98,3.36,light rain
164,Palmer,US,42.16,-72.33,42.8,88,90,11.41,overcast clouds
165,Itoman,JP,26.12,127.67,82.4,69,75,16.11,broken clouds
166,Taltal,CL,-25.4,-70.48,56.53,75,9,1.05,clear sky
167,Avera,US,33.19,-82.53,55.4,43,1,12.75,clear sky
168,Yuci,CN,37.68,112.73,53.6,14,0,11.18,clear sky
169,Iralaya,HN,15.0,-83.23,79.32,87,100,8.25,moderate rain
170,Gao,ML,16.64,1.64,71.67,24,0,13.89,clear sky
171,San Patricio,US,28.02,-97.52,66.2,68,1,8.05,clear sky
172,Viedma,AR,-40.81,-63.0,60.01,59,0,12.5,clear sky
173,Omboue,GA,-1.57,9.26,75.43,93,99,5.23,moderate rain
174,Marawi,PH,8.0,124.29,80.4,62,96,11.99,overcast clouds
175,Taoudenni,ML,22.68,-3.98,73.4,21,100,12.55,overcast clouds
176,Killybegs,IE,54.63,-8.45,45.0,93,100,3.0,light rain
177,Lorengau,PG,-2.02,147.27,85.5,68,29,1.72,light rain
178,Erenhot,CN,43.65,111.98,30.49,65,0,21.16,clear sky
179,Bulungu,CD,-4.55,18.6,70.05,99,100,3.09,moderate rain
180,Yar-Sale,RU,66.83,70.83,23.14,96,45,10.31,scattered clouds
181,Klaksvik,FO,62.23,-6.59,44.6,75,45,10.29,scattered clouds
182,Nantucket,US,41.28,-70.1,56.14,86,100,32.79,light rain
183,Sao Filipe,CV,14.9,-24.5,78.08,77,54,3.2,broken clouds
184,Katsuura,JP,35.13,140.3,70.0,77,75,14.99,broken clouds
185,Dingle,PH,11.0,122.67,84.24,77,96,14.45,heavy intensity rain
