City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
283,Ulaangom,MN,33.17,overcast clouds,49.98,92.07,Achit Nuur Hotel & Restaurant
284,Portobelo,PA,77.0,light rain,9.55,-79.65,Scuba Portobelo
285,Sungai Petani,MY,84.2,scattered clouds,5.65,100.49,Swiss-Inn Sungai Petani
286,Bilma,NE,65.19,clear sky,18.69,12.92,Expeditions Ténére voyages
287,Ziro,IN,84.2,scattered clouds,27.63,93.83,Ka-ngam homestay
288,Tilichiki,RU,27.39,broken clouds,60.47,166.1,
289,Donetsk,UA,51.67,light rain,48.0,37.8,Donbass Palace
290,Pisco,PE,64.4,overcast clouds,-13.7,-76.22,Hostal San Isidro Oficial
291,Toucheng,TW,82.99,shower rain,24.86,121.82,和風時尚VILLA會館
292,Glyadyanskoye,RU,28.54,scattered clouds,54.91,65.09,"Drug, Antip"
293,Sunndalsora,NO,51.8,light rain,62.68,8.55,Trædal Hotel
295,Gimli,CA,35.6,overcast clouds,50.63,-96.99,Lakeview Gimli Resort
296,Roebourne,AU,86.11,few clouds,-20.78,117.13,Harding River Caravan Park
297,Guapi,CO,75.15,overcast clouds,2.57,-77.89,Hotel Emperador Guapí
298,Banda Aceh,ID,84.88,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
299,Rudbar,AF,70.79,clear sky,30.15,62.6,
300,Sitka,US,57.2,moderate rain,57.05,-135.33,Westmark Sitka
301,Narsaq,GL,17.6,clear sky,60.92,-46.05,Hotel Narsaq
302,Sambava,MG,75.9,scattered clouds,-14.27,50.17,Melrose
303,Longyearbyen,SJ,28.02,broken clouds,78.22,15.64,"Radisson Blu Polar Hotel, Spitsbergen"
304,Nangong,CN,61.27,clear sky,37.36,115.37,7Days Inn Xingtai South Yucai Road
305,Meulaboh,ID,85.91,light rain,4.14,96.13,Kost Pria
306,Xining,CN,41.49,few clouds,36.62,101.77,Super Leisure Hotel
307,Talaja,IN,87.01,clear sky,21.35,72.05,Velvettas Resorts
308,Zhizdra,RU,44.06,overcast clouds,53.75,34.74,Salon Krasoty Morozovoy
309,Le Port,RE,78.8,scattered clouds,-20.94,55.29,Villa Maido
310,Qandala,SO,79.63,clear sky,11.47,49.87,
311,Poronaysk,RU,52.16,scattered clouds,49.22,143.12,Avtovokzal Khostel Stolovaya
312,San Carlos,VE,73.0,overcast clouds,9.66,-68.58,Hotel Paternopoli
313,Kijang,KR,62.6,clear sky,35.24,129.21,Brown Dot Gijang Yeonhwari
314,Pueblo Nuevo,MX,56.79,clear sky,23.38,-105.38,
315,Guiratinga,BR,71.13,overcast clouds,-16.35,-53.76,Hotel Angra do Cerrado - Guiratinga MT
316,Hobbs,US,54.0,clear sky,32.7,-103.14,Best Western Executive Inn
317,Xiaoshi,CN,42.8,broken clouds,41.3,124.12,Junsheng Fengweilou Farmstay
318,Port-Cartier,CA,39.2,overcast clouds,50.03,-66.87,Le Q'Artier
319,Ostrovnoy,RU,38.01,overcast clouds,68.05,39.51,
320,Gurjaani,GE,66.33,clear sky,41.74,45.8,The Role House
321,Bolshaya Dzhalga,RU,54.61,light rain,45.97,42.7,
322,Progreso,MX,73.99,clear sky,21.28,-89.67,Playa Linda Hotel
323,Aparecida Do Taboado,BR,67.23,scattered clouds,-20.09,-51.09,Aritana
324,Touros,BR,78.8,scattered clouds,-5.2,-35.46,INN NEW HORIZON
325,Iqaluit,CA,15.8,light snow,63.75,-68.51,Frobisher Inn
326,Mahebourg,MU,75.2,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
327,Saint-Philippe,RE,75.2,overcast clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
328,Nova Olinda Do Norte,BR,74.43,broken clouds,-3.89,-59.09,Nova Olinda Palace Hotel
329,Thinadhoo,MV,83.7,moderate rain,0.53,72.93,
330,Dunedin,NZ,52.0,scattered clouds,-45.87,170.5,Scenic Hotel Southern Cross
331,Jaragua,BR,68.0,broken clouds,-15.76,-49.33,Danbury Hotel
332,Druzhba,UA,44.94,overcast clouds,52.04,33.95,
333,Urumqi,CN,46.4,clear sky,43.8,87.6,Hua Ling Grand Hotel Urumqi
334,Vardo,NO,42.8,broken clouds,70.37,31.11,Vardø Hotel AS
335,Kirensk,RU,20.41,few clouds,57.79,108.11,Kirenskiy Plos
336,Ulladulla,AU,68.0,scattered clouds,-35.35,150.47,Sandpiper Motel
337,Dickson,US,39.99,broken clouds,36.08,-87.39,East Hills Bed & Breakfast Inn
338,Mayumba,GA,76.89,moderate rain,-3.43,10.66,LIKWALE LODGE
339,Faya,SA,55.4,clear sky,18.39,42.45,مقبرة ال مجمل
340,Mnogovershinnyy,RU,34.36,moderate rain,53.94,139.92,Kvartsevaya Sopka
342,Monrovia,LR,78.1,light rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
343,Caibarien,CU,77.0,few clouds,22.52,-79.47,La Nena
344,Provideniya,RU,23.0,heavy snow,64.38,-173.3,
345,Lethem,GY,76.77,light rain,3.38,-59.8,Savannah Inn
346,Chekhov,RU,43.0,overcast clouds,55.14,37.47,Cottage Edu v gosti
347,Broken Hill,AU,86.0,scattered clouds,-31.95,141.43,Daydream Motel & Cottages
348,Cornelius,US,50.0,clear sky,35.49,-80.86,Hampton Inn Charlotte-North/Lake Norman
349,Chernihiv,UA,44.83,overcast clouds,51.0,32.0,
350,Ayagoz,KZ,43.79,clear sky,47.97,80.44,Gostinitsa Nur
351,Zeya,RU,20.59,overcast clouds,53.75,127.27,Kapital Inn
352,Egyek,HU,44.6,mist,47.63,20.9,Márton Eszter
353,Ranong,TH,84.2,scattered clouds,9.97,98.63,Tinidee Hotel@Ranong
354,Ambilobe,MG,79.68,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
355,Labrea,BR,74.77,broken clouds,-7.26,-64.8,Hotel Novo Horizonte
356,Tanout,NE,69.48,clear sky,14.97,8.89,
357,Saint-Louis,SN,81.14,overcast clouds,16.33,-15.0,
358,Kalianget,ID,86.59,light rain,-7.05,113.93,Pesanggrahan Garam
359,Tiarei,PF,82.4,shower rain,-17.53,-149.33,Le Rocher de Tahiti
360,Gander,CA,35.6,scattered clouds,48.97,-54.59,Quality Hotel & Suites
361,Karratha,AU,83.77,few clouds,-20.74,116.85,ibis Styles Karratha
362,Guerrero Negro,MX,68.94,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
363,Acapulco,MX,80.01,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
364,Telchac,MX,73.99,clear sky,21.2,-89.27,"La Casita Maya, Telchac"
365,Sharjah,AE,77.0,clear sky,25.36,55.4,Swiss Belhotel Sharjah
366,Tomakomai,JP,62.01,light rain,42.64,141.6,Hotel Wing International Tomakomai
367,Miles City,US,42.8,clear sky,46.41,-105.84,FairBridge Inn & Suites Miles City
368,Sorland,NO,50.0,light rain,67.67,12.69,Sjybrygga fiskecamp
369,Goundam,ML,77.67,clear sky,16.41,-3.67,
370,Launceston,AU,70.0,scattered clouds,-41.45,147.17,Hotel Grand Chancellor Launceston
371,Correia Pinto,BR,51.03,broken clouds,-27.58,-50.36,Estância Zéca Wiggers
372,Salisbury,GB,60.8,light intensity drizzle,51.07,-1.8,Mercure Salisbury White Hart Hotel
373,Kailua,US,80.6,broken clouds,21.4,-157.74,Sheffield House Bed & Breakfast
374,Hastings,GB,61.0,overcast clouds,50.86,0.57,Zanzibar Hotel
375,Baherden,TM,75.49,few clouds,38.44,57.43,
376,Tezu,IN,76.14,light rain,27.92,96.17,Circuit House
377,Quartucciu,IT,51.01,few clouds,39.25,9.18,Best Western Hotel Residence Italia
378,Antofagasta,CL,59.0,scattered clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
379,Ganzhou,CN,71.01,broken clouds,28.82,115.43,Gold Jiao Hotel
380,Mogadishu,SO,77.0,broken clouds,2.04,45.34,Hotel Juba
381,Saint-Pierre,RE,75.2,scattered clouds,-21.34,55.48,Lindsey Hôtel
382,Severo-Kurilsk,RU,42.78,scattered clouds,50.68,156.12,Kak Doma
383,San Matias,BO,73.99,overcast clouds,-16.37,-58.4,"HOTEL ""SAN JOSE"""
384,Awbari,LY,56.68,clear sky,26.59,12.78,فندق أوباري
385,Ayr,GB,50.0,broken clouds,55.46,-4.63,Mercure Ayr Hotel
386,Aniva,RU,55.4,few clouds,46.71,142.53,Gostinitsa
387,Madinat Sittah Uktubar,EG,66.2,haze,29.82,31.05,Happy Kennel Academy
388,Camacupa,AO,65.1,broken clouds,-12.02,17.48,
389,Shitanjing,CN,44.65,clear sky,39.23,106.34,
390,Jinchang,CN,49.86,clear sky,38.5,102.17,Mingshihui Jinchang International Hotel
391,Katrineholm,SE,55.4,overcast clouds,59.0,16.21,Hotel Gillet
392,Honningsvag,NO,44.6,broken clouds,70.98,25.97,Nordkapp Vandrerhjem
393,Matagami,CA,23.0,overcast clouds,49.75,-77.63,Hôtel Matagami
394,Bambanglipuro,ID,85.3,light rain,-7.95,110.28,Puri Brata
395,Gillette,US,48.99,clear sky,44.29,-105.5,National 9 Inn - Gillette WY
396,Khorostkiv,UA,37.49,clear sky,49.21,25.92,Імобільяре
397,Nyrob,RU,25.16,broken clouds,60.73,56.72,Gostinitsa
398,Bathsheba,BB,82.4,scattered clouds,13.22,-59.52,Atlantis Hotel
399,Sabla,NG,74.43,broken clouds,12.75,4.71,
400,Goya,AR,54.88,clear sky,-29.14,-59.26,Apart Costanera
401,Shangqiu,CN,68.18,clear sky,34.45,115.65,Thank Inn Chain Hotel henan shangqiu railway station ticket shop
402,Lompoc,US,62.6,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
403,Tigil,RU,35.76,broken clouds,57.8,158.67,Tigil'
404,Rangpo,IN,83.86,scattered clouds,27.18,88.53,Hotel Darpad
405,Namibe,AO,69.08,clear sky,-15.2,12.15,Hotel Chik Chik Namibe
406,Sinnamary,GF,79.68,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
407,Sovetskaya Gavan,RU,47.16,overcast clouds,48.97,140.29,"Хостел ""Пилигрим"""
408,Ustrzyki Dolne,PL,39.99,broken clouds,49.43,22.59,Hostel Karpacki
409,Chimoio,MZ,62.6,fog,-19.12,33.48,Predio Livraria Ahmed
410,Ocampo,MX,44.31,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
411,Krasnaya Zarya,RU,42.98,light rain,52.78,37.68,
412,Yakeshi,CN,14.76,overcast clouds,49.28,120.73,Longhua Hotel
413,Muisne,EC,75.09,overcast clouds,0.6,-80.03,Quinta Samay
414,Mulchen,CL,53.46,few clouds,-37.72,-72.23,Hotel Los Maitenes de Villalón
415,Leh,IN,35.37,clear sky,34.17,77.58,Hotel Ladakh Greens
416,Dubai,AE,77.0,haze,25.26,55.3,"Radisson Blu Hotel, Dubai Deira Creek"
417,Tiradentes,BR,50.13,scattered clouds,-21.11,-44.18,Hotel Serra Vista
418,Beringovskiy,RU,23.92,broken clouds,63.05,179.32,Beringgorski
420,Afua,BR,77.32,broken clouds,-0.16,-50.39,Hotel Dias
421,Bull Savanna,JM,74.14,moderate rain,17.89,-77.59,Big Red's
422,Roald,NO,51.8,light rain,62.58,6.13,Flem Cabins
423,Sorkjosen,NO,45.07,overcast clouds,69.8,20.93,Reisafjord Hotel AS
424,Fare,PF,80.76,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
425,Kendrapara,IN,86.0,haze,20.5,86.42,Hotel Mayuri Palace
426,Siloam Springs,US,39.2,clear sky,36.19,-94.54,Cherokee Hotel & Casino West Siloam Springs
427,Alihe,CN,19.06,overcast clouds,50.57,123.72,Alihe Forestry Hotel
428,Zaltan,LY,64.99,clear sky,32.95,11.87,زلطن الشرقية
429,Luanda,AO,77.0,broken clouds,-8.84,13.23,EPIC SANA Luanda
430,Aksha,RU,23.29,scattered clouds,50.28,113.29,
431,Veselynove,UA,48.2,scattered clouds,47.36,31.23,Золотой фазан
432,Sungurlu,TR,41.81,clear sky,40.17,34.37,Sungurlu Ogretmenevi
433,Svetlogorsk,BY,42.22,overcast clouds,52.63,29.73,Hotel Svetlogorsk JBIK
434,Srikakulam,IN,86.47,clear sky,18.3,83.9,Sriram residency
435,Bonthe,SL,77.97,light rain,7.53,-12.51,Bonthe Holiday Village
437,Raha,IN,79.56,overcast clouds,26.23,92.52,Hotel Smriti
438,Hamilton,US,35.01,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
439,Araguacu,BR,71.04,light rain,-12.93,-49.83,Brunas Park Hotel
440,Ravar,IR,71.4,clear sky,31.27,56.81,computertik
