City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
34,Ponta Delgada,PT,2020-10-29 04:26:36,37.73,-25.67,68.0,82,75,12.75
35,Kaniama,CD,2020-10-29 04:26:36,-7.57,24.18,66.18,96,70,3.27
36,Nossa Senhora Do Socorro,BR,2020-10-29 04:26:36,-10.86,-37.13,78.8,78,40,11.41
37,Harper,LR,2020-10-29 04:26:37,4.38,-7.72,77.18,90,99,5.86
38,Pudozh,RU,2020-10-29 04:26:37,61.81,36.53,43.7,95,81,10.42
39,Ushuaia,AR,2020-10-29 04:26:37,-54.8,-68.3,42.8,87,90,27.51
40,Lasa,IT,2020-10-29 04:26:37,46.62,10.7,42.01,86,5,6.93
41,Pringsewu,ID,2020-10-29 04:26:37,-5.36,104.97,90.61,51,55,4.5
42,Obihiro,JP,2020-10-29 04:26:38,42.92,143.2,53.6,62,75,11.41
43,Sorland,NO,2020-10-29 04:26:38,67.67,12.69,33.8,100,0,3.36
44,Esperance,AU,2020-10-29 04:26:38,-33.87,121.9,66.2,55,0,17.22
45,Mataura,NZ,2020-10-29 04:26:38,-46.19,168.86,66.99,65,40,4.0
46,Fairbanks,US,2020-10-29 04:26:38,64.84,-147.72,19.99,92,90,3.36
47,Dom Pedrito,BR,2020-10-29 04:26:39,-30.98,-54.67,55.83,76,65,10.63
48,Sidhauli,IN,2020-10-29 04:26:39,27.28,80.83,71.6,64,0,2.71
49,Bahia Blanca,AR,2020-10-29 04:26:39,-38.72,-62.27,49.53,49,4,13.62
50,Cabra,ES,2020-10-29 04:26:40,37.47,-4.44,55.0,93,0,1.12
51,Butaritari,KI,2020-10-29 04:26:40,3.07,172.79,81.52,73,63,1.63
52,Acapulco,MX,2020-10-29 04:25:05,16.86,-99.89,79.9,82,71,4.68
53,Samarai,PG,2020-10-29 04:26:40,-10.62,150.67,82.44,76,92,7.67
54,Dingle,PH,2020-10-29 04:26:41,11.0,122.67,85.62,78,21,8.81
55,Erenhot,CN,2020-10-29 04:26:41,43.65,111.98,49.62,36,59,10.47
56,Albany,US,2020-10-29 04:26:41,42.6,-73.97,46.0,100,97,4.41
57,Ambilobe,MG,2020-10-29 04:26:41,-13.2,49.05,80.04,57,0,5.14
58,Birin,NP,2020-10-29 04:26:42,26.89,88.07,70.32,45,0,2.24
59,Hithadhoo,MV,2020-10-29 04:26:42,-0.6,73.08,83.53,73,0,9.91
60,Tuktoyaktuk,CA,2020-10-29 04:26:42,69.45,-133.04,21.2,85,90,25.28
